ID,localidad,Sexo,ID_largo,fecha,movimiento,level_2,0,minutos
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,42,0 days 00:09:45.078000,9.75
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,43,0 days 00:23:35.065000,23.58333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,75,0 days 00:08:02.696000,8.033333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,17,0 days 00:57:22.771000,57.36666666666667
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,27,0 days 01:57:56.558000,117.93333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,117,0 days 00:27:53.370000,27.883333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,121,0 days 00:13:58.001000,13.966666666666669
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,125,0 days 00:13:29.006000,13.483333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,126,0 days 00:10:34.471000,10.566666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,128,0 days 00:16:14.989000,16.233333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,130,0 days 00:06:04.249000,6.066666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,132,0 days 00:09:11.743000,9.183333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,134,0 days 00:21:51.866000,21.85
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,94,0 days 00:09:43.697000,9.716666666666669
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,98,0 days 00:06:08.363000,6.133333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-17,WALKING,160,0 days 00:24:18.346000,24.3
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,65,0 days 00:07:03.823000,7.05
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,29,0 days 00:17:27.600000,17.45
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,159,0 days 00:12:38.622000,12.633333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,160,0 days 00:05:39.241000,5.65
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,163,0 days 00:13:26.478000,13.433333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,IN_VEHICLE,169,0 days 00:06:28.965000,6.466666666666667
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,20,0 days 00:52:26.979000,52.43333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,21,0 days 01:43:01.989000,103.01666666666668
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,24,0 days 00:15:24.808000,15.4
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,50,0 days 00:05:18.190000,5.3
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,51,0 days 00:05:15.668000,5.25
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,52,0 days 00:06:18.863000,6.3
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,53,0 days 00:06:19.038000,6.316666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,66,0 days 01:27:35.217000,87.58333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,68,0 days 00:08:28.159000,8.466666666666667
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,58,0 days 00:13:54.208000,13.9
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,75,0 days 00:09:33.806000,9.55
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,85,0 days 00:09:17.601000,9.283333333333331
