ID,modes,localidad,Sexo,T2_Q13
ID03050090161991,Public transport,San Cristobal,Hombres,Trabajando
ID03050090181992,Private Transport,San Cristobal,Mujeres,Pensionado
ID03050090211993,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050090241994,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050090371995,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03050110251976,Public transport,San Cristobal,Hombres,Trabajando
ID03050110331977,Private Transport,San Cristobal,Hombres,Trabajando
ID03050120120928,Active Transport,San Cristobal,Mujeres,Pensionado
ID03050130091978,Public transport,San Cristobal,Hombres,Trabajando
ID03050130121979,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050130221980,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050140120920,Private Transport,San Cristobal,Hombres,Diligencias y tramites
ID03050140150921,Public transport,San Cristobal,Hombres,Diligencias y tramites
ID03050140840930,Active Transport,San Cristobal,Hombres,Trabajando
ID03050170180924,Public transport,San Cristobal,Mujeres,Trabajando
ID03050170300925,Active Transport,San Cristobal,Hombres,Diligencias y tramites
ID03050170330927,Public transport,San Cristobal,Hombres,Trabajando
ID03050170370934,Private Transport,San Cristobal,Hombres,Trabajando
ID03050170530935,Active Transport,San Cristobal,Hombres,Estudiando
ID03050230121990,Active Transport,San Cristobal,Mujeres,Trabajando
ID03050450090936,Public transport,San Cristobal,Hombres,Trabajando
ID03050450480941,Private Transport,San Cristobal,Hombres,Trabajando
ID03050740091984,888,San Cristobal,Mujeres,Incapacitado permanente
ID03050740131985,Public transport,San Cristobal,Mujeres,Trabajando
ID03050740221987,888,San Cristobal,Mujeres,Incapacitado permanente
ID03090070031931,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090070061932,Private Transport,San Cristobal,Hombres,Trabajando
ID03090070131934,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090070161935,Public transport,San Cristobal,Hombres,Trabajando
ID03090110031926,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03090110061927,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090110191929,Private Transport,San Cristobal,Mujeres,Trabajando
ID03090190071951,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090190121953,Private Transport,San Cristobal,Hombres,Trabajando
ID03090200031954,888,San Cristobal,Mujeres,Oficios del hogar
ID03090200061955,888,San Cristobal,Mujeres,Oficios del hogar
ID03090250071936,Public transport,San Cristobal,Hombres,Trabajando
ID03090250101937,Public transport,San Cristobal,Hombres,Trabajando
ID03090250121938,Active Transport,San Cristobal,Mujeres,Trabajando
