0
SAN CRISTOBAL
BARRIOS UNIDOS
BOSA
CIUDAD BOLIVAR
ENGATIVA
TEUSAQUILLO
ANTONIO NARIÑO
SANTA FE
LOS MARTIRES
FONTIBON
CANDELARIA
KENNEDY
USAQUEN
CHAPINERO
SUBA
UNKNOWN
USME
RAFAEL URIBE URIBE
PUENTE ARANDA
TUNJUELITO
